Prey taxa,Lionfish 1,Lionfish 2,Lionfish 3,Lionfish 4,Lionfish 5,Lionfish 6,Lionfish 7,Lionfish 8,Lionfish 9,Lionfish 12,Lionfish 13,Lionfish 16,Lionfish 17,Lionfish 18,Lionfish 20,Lionfish 21,Lionfish 22,Lionfish 25,Lionfish 26,Lionfish 27
Available chromis,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Available wrasse,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Available goby,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
