Prey taxa,Lionfish 1,Lionfish 2,Lionfish 3,Lionfish 4,Lionfish 5,Lionfish 6,Lionfish 7,Lionfish 8,Lionfish 9,Lionfish 12,Lionfish 13,Lionfish 16,Lionfish 17,Lionfish 18,Lionfish 20,Lionfish 21,Lionfish 22,Lionfish 25,Lionfish 26,Lionfish 27
Chromis eaten,3,0,0,3,2,4,2,3,2,3,1,1,3,1,1,0,1,2,2,1
Wrasse eaten,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,1
Goby eaten,2,0,0,0,0,3,0,0,1,0,0,0,0,0,1,2,4,0,1,0
